# ----------------------------------------
# one2team.com - primary reporting
# New Custom Report
# 20161101-20170131
# ----------------------------------------

Date,Source,Medium,Sessions,Pageviews,Time on Page
20161205,blog.capterra.com,referral,2,2,00:00:00
20161205,hs_automation,email,2,4,00:04:58
20161205,l.facebook.com,referral,2,12,00:30:52
20161205,linkedin.com,referral,2,4,00:01:37
20161205,methodo-projet.fr,referral,2,6,00:02:43
20161206,bing,organic,2,3,00:00:10
20161206,facebook.com,referral,2,2,00:00:00
20161206,linkedin,cpc,2,2,00:00:00
20161206,one2team.com,referral,2,3,00:04:57
20161206,twitter.com,social,2,2,00:00:00
20161208,blog.capterra.com,referral,2,9,00:06:11
20161209,bing,organic,2,7,00:04:28
20161209,capterra.com,referral,2,6,00:01:56
20161209,l.facebook.com,referral,2,3,00:00:02
20161210,capterra.com,cpc,2,3,00:01:39
20161210,images.google,organic,2,2,00:00:00
20161211,hs_automation,email,2,2,00:00:00
20161212,blog.capterra.com,referral,2,3,00:04:39
20161212,hs_automation,email,2,3,00:00:48
20161212,images.google,organic,2,2,00:00:00
20161212,linkedin.com,referral,2,6,00:02:08
20161212,twitter.com,social,2,2,00:00:00
20161213,l.facebook.com,referral,2,31,00:32:15
20161213,one2team.wpengine.com,referral,2,5,00:07:22
20161214,images.google,organic,2,6,00:03:42
20161214,linkedin,cpc,2,2,00:00:00
20161214,linkedin.com,referral,2,5,00:15:46
20161214,twitter.com,social,2,2,00:00:00
20161215,blog.capterra.com,referral,2,3,00:23:50
20161215,linkedin.com,referral,2,8,00:12:40
20161216,bing,organic,2,2,00:00:00
